,user,session,feature,param,acc
2,9,20140627,de_LDS,{'c': 256.0},0.9602601156069365
15,9,20140704,de_LDS,{'c': 0.5},0.7622832369942196
22,9,20140620,de_LDS,{'c': 0.0009765625},0.7109826589595376
5,8,20140521,de_LDS,{'c': 0.0009765625},0.861271676300578
17,8,20140511,de_LDS,{'c': 0.0009765625},0.75
27,8,20140514,de_LDS,{'c': 0.0009765625},0.6755780346820809
10,7,20131027,de_LDS,{'c': 0.0009765625},0.8244219653179191
20,7,20131106,de_LDS,{'c': 0.0009765625},0.7312138728323699
24,7,20131030,de_LDS,{'c': 0.015625},0.6907514450867052
1,6,20130712,de_LDS,{'c': 0.0078125},0.990606936416185
13,6,20131016,de_LDS,{'c': 0.0009765625},0.7940751445086706
14,6,20131113,de_LDS,{'c': 0.0009765625},0.7861271676300579
19,5,20140418,de_LDS,{'c': 0.0009765625},0.7341040462427746
32,5,20140506,de_LDS,{'c': 0.1},0.6372832369942196
33,5,20140411,de_LDS,{'c': 8.0},0.6221098265895953
6,4,20140621,de_LDS,{'c': 512.0},0.8511560693641619
18,4,20140705,de_LDS,{'c': 2.6},0.7427745664739884
36,4,20140702,de_LDS,{'c': 0.0009765625},0.5794797687861272
3,3,20140629,de_LDS,{'c': 0.015625},0.9552023121387283
26,3,20140603,de_LDS,{'c': 0.125},0.6835260115606936
31,3,20140611,de_LDS,{'c': 0.0009765625},0.6401734104046243
8,2,20140419,de_LDS,{'c': 0.125},0.8432080924855492
23,2,20140413,de_LDS,{'c': 0.0009765625},0.7008670520231214
43,2,20140404,de_LDS,{'c': 256.0},0.44653179190751446
0,15,20131105,de_LDS,{'c': 0.0009765625},1.0
4,15,20130709,de_LDS,{'c': 0.25},0.940028901734104
16,15,20131016,de_LDS,{'c': 0.0009765625},0.7521676300578035
21,14,20140601,de_LDS,{'c': 0.0009765625},0.7145953757225434
25,14,20140615,de_LDS,{'c': 0.0078125},0.6842485549132948
30,14,20140627,de_LDS,{'c': 0.0625},0.6401734104046243
35,13,20140603,de_LDS,{'c': 16.0},0.5816473988439307
37,13,20140610,de_LDS,{'c': 0.125},0.5722543352601156
42,13,20140527,de_LDS,{'c': 8.0},0.5086705202312138
11,12,20131207,de_LDS,{'c': 0.0009765625},0.8143063583815029
28,12,20131201,de_LDS,{'c': 0.03125},0.6632947976878613
39,12,20131127,de_LDS,{'c': 0.125},0.559971098265896
7,11,20140630,de_LDS,{'c': 0.0009765625},0.8439306358381503
9,11,20140618,de_LDS,{'c': 0.00390625},0.8432080924855492
34,11,20140625,de_LDS,{'c': 0.015625},0.6040462427745664
29,10,20131130,de_LDS,{'c': 0.03125},0.6589595375722543
38,10,20131211,de_LDS,{'c': 0.0009765625},0.5664739884393064
44,10,20131204,de_LDS,{'c': 0.125},0.4125722543352601
12,1,20131027,de_LDS,{'c': 0.0009765625},0.7991329479768786
40,1,20131030,de_LDS,{'c': 0.0009765625},0.5469653179190751
41,1,20131107,de_LDS,{'c': 0.0078125},0.5101156069364162
