,user,session,feature,param,acc
40,13,20140527,de_LDS_lr12_0.005,{'lr12:0.005'},0.8721098303794861
43,13,20140527,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.8692196607589722
48,13,20140527,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.8511560559272766
49,13,20140527,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.8511560559272766
50,13,20140527,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.8511560559272766
51,13,20140527,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.8511560559272766
52,13,20140527,de_LDS_lr13_0.007,{'lr13:0.007'},0.8511560559272766
56,13,20140527,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.8338150382041931
59,13,20140527,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.8309248685836792
62,13,20140527,de_LDS_lr10_0.001,{'lr10:0.001'},0.8287572264671326
63,13,20140527,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.8287572264671326
65,13,20140527,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.8265895843505859
68,13,20140527,de_LDS_lr11_0.003,{'lr11:0.003'},0.8164739608764648
69,13,20140527,de_LDS_lr15_0.01,{'lr15:0.01'},0.8135837912559509
73,13,20140527,de_LDS_lr14_0.009,{'lr14:0.009'},0.8027456402778625
74,13,20140527,de_LDS_lr17_0.05,{'lr17:0.05'},0.8027456402778625
77,13,20140527,de_LDS_lr18_0.07,{'lr18:0.07'},0.7955202460289001
87,13,20140527,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.7846820950508118
96,13,20140527,de_LDS_lr19_0.09,{'lr19:0.09'},0.7615606784820557
108,13,20140527,de_LDS_lr16_0.03,{'lr16:0.03'},0.7319363951683044
4,12,20131127,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.9624277353286743
15,12,20131127,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.9494219422340393
17,12,20131127,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.948699414730072
18,12,20131127,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.948699414730072
19,12,20131127,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.9479768872261047
20,12,20131127,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.9472543597221375
21,12,20131127,de_LDS_lr10_0.001,{'lr10:0.001'},0.9472543597221375
22,12,20131127,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.9465317726135254
23,12,20131127,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.9443641901016235
24,12,20131127,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.9414739608764648
25,12,20131127,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.9335260391235352
27,12,20131127,de_LDS_lr15_0.01,{'lr15:0.01'},0.9111271500587463
30,12,20131127,de_LDS_lr13_0.007,{'lr13:0.007'},0.8959537744522095
31,12,20131127,de_LDS_lr11_0.003,{'lr11:0.003'},0.8937861323356628
32,12,20131127,de_LDS_lr14_0.009,{'lr14:0.009'},0.8930636048316956
