,user,session,feature,param,acc
4,12,20131127,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.6582369804382324
74,12,20131127,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.5028901696205139
119,12,20131127,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.3208092451095581
120,12,20131127,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.30924856662750244
121,12,20131127,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.27890172600746155
125,12,20131127,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.24855491518974304
126,12,20131127,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.20736993849277496
127,12,20131127,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.1958092451095581
128,12,20131127,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.1893063634634018
5,11,20140618,de_LDS_lr16_0.03,{'lr16:0.03'},0.6582369804382324
9,11,20140618,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.6430636048316956
23,11,20140618,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6033236980438232
24,11,20140618,de_LDS_lr14_0.009,{'lr14:0.009'},0.6011560559272766
30,11,20140618,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.589595377445221
33,11,20140625,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.586705207824707
34,11,20140618,de_LDS_lr10_0.001,{'lr10:0.001'},0.586705207824707
36,11,20140625,de_LDS_lr16_0.03,{'lr16:0.03'},0.5859826803207397
37,11,20140618,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.5838150382041931
39,11,20140618,de_LDS_lr15_0.01,{'lr15:0.01'},0.5787572264671326
41,11,20140618,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.5780346989631653
43,11,20140618,de_LDS_lr19_0.09,{'lr19:0.09'},0.5773121118545532
44,11,20140630,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.5758670568466187
45,11,20140618,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.5758670568466187
46,11,20140618,de_LDS_lr17_0.05,{'lr17:0.05'},0.5729768872261047
47,11,20140625,de_LDS_lr10_0.001,{'lr10:0.001'},0.5679190754890442
50,11,20140625,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.5541907548904419
51,11,20140625,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.5541907548904419
52,11,20140618,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.5534682273864746
53,11,20140625,de_LDS_lr12_0.005,{'lr12:0.005'},0.5520231127738953
54,11,20140625,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.551300585269928
55,11,20140625,de_LDS_lr14_0.009,{'lr14:0.009'},0.5498554706573486
56,11,20140618,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.5491329431533813
58,11,20140618,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.5462427735328674
60,11,20140618,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.5426300764083862
62,11,20140618,de_LDS_lr13_0.007,{'lr13:0.007'},0.5404624342918396
63,11,20140625,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.5375722646713257
65,11,20140618,de_LDS_lr18_0.07,{'lr18:0.07'},0.5267341136932373
