,user,session,feature,param,acc
0,9,20140620,de_LDS,{'c': 0.00390625},1
15,9,20140627,de_LDS,{'c': 0.0009765625},"0,920520231213873"
39,9,20140704,de_LDS,{'c': 2.0},"0,705924855491329"
7,8,20140521,de_LDS,{'c': 0.03125},"0,966763005780347"
16,8,20140514,de_LDS,{'c': 0.001953125},"0,916184971098266"
20,8,20140511,de_LDS,{'c': 0.0078125},"0,879335260115607"
11,7,20131030,de_LDS,{'c': 0.00390625},"0,942919075144509"
22,7,20131027,de_LDS,{'c': 0.25},"0,861271676300578"
42,7,20131106,de_LDS,{'c': 0.0078125},"0,642341040462428"
6,6,20130712,de_LDS,{'c': 0.0009765625},"0,977601156069364"
27,6,20131113,de_LDS,{'c': 0.001953125},"0,795520231213873"
33,6,20131016,de_LDS,{'c': 0.0009765625},"0,739884393063584"
4,5,20140418,de_LDS,{'c': 0.0009765625},1
29,5,20140506,de_LDS,{'c': 0.001953125},"0,76878612716763"
43,5,20140411,de_LDS,{'c': 0.125},"0,635838150289017"
31,4,20140621,de_LDS,{'c': 0.0078125},"0,753612716763006"
34,4,20140705,de_LDS,{'c': 0.0625},"0,736271676300578"
40,4,20140702,de_LDS,{'c': 0.0078125},"0,695086705202312"
5,3,20140629,de_LDS,{'c': 6.6},"0,977601156069364"
10,3,20140603,de_LDS,{'c': 0.001953125},"0,955202312138728"
32,3,20140611,de_LDS,{'c': 0.0078125},"0,752890173410405"
13,2,20140413,de_LDS,{'c': 0.0009765625},"0,933526011560694"
14,2,20140404,de_LDS,{'c': 0.0009765625},"0,930635838150289"
37,2,20140419,de_LDS,{'c': 0.0625},"0,729768786127168"
1,15,20131016,de_LDS,{'c': 0.0009765625},1
2,15,20131105,de_LDS,{'c': 0.0009765625},1
3,15,20130709,de_LDS,{'c': 0.0009765625},1
18,14,20140615,de_LDS,{'c': 0.25},"0,891618497109826"
24,14,20140601,de_LDS,{'c': 0.0009765625},"0,855491329479769"
44,14,20140627,de_LDS,{'c': 0.0009765625},"0,614884393063584"
19,13,20140527,de_LDS,{'c': 0.0009765625},"0,88728323699422"
23,13,20140610,de_LDS,{'c': 0.5},"0,858381502890173"
25,13,20140603,de_LDS,{'c': 0.0009765625},"0,854768786127168"
9,12,20131127,de_LDS,{'c': 8.0},"0,955202312138728"
17,12,20131207,de_LDS,{'c': 0.03125},"0,910404624277457"
30,12,20131201,de_LDS,{'c': 0.0009765625},"0,757225433526012"
8,11,20140630,de_LDS,{'c': 0.0009765625},"0,958092485549133"
26,11,20140625,de_LDS,{'c': 2.0},"0,802023121387283"
38,11,20140618,de_LDS,{'c': 0.001953125},"0,727601156069364"
21,10,20131211,de_LDS,{'c': 0.0009765625},"0,872109826589595"
28,10,20131204,de_LDS,{'c': 0.00390625},"0,769508670520231"
36,10,20131130,de_LDS,{'c': 0.001953125},"0,733381502890173"
12,1,20131027,de_LDS,{'c': 0.0009765625},"0,935693641618497"
35,1,20131030,de_LDS,{'c': 0.00390625},"0,735549132947977"
41,1,20131107,de_LDS,{'c': 0.0009765625},"0,661849710982659"
